site_id,bs_id,scenario,sector_az_deg,lat,lon,total_MHz,used_MHz,util_pct,attached_users,demand_Mbps,served_Mbps
27,82,RMA,150.0,43.82352,-79.4414,20.0,20.0,100.0,746,295.08,174.18
27,83,RMA,270.0,43.82352,-79.4414,20.0,20.0,100.0,1016,404.85,198.47
28,84,RMA,30.0,43.82352,-79.32472,20.0,20.0,100.0,1374,560.2,223.53
28,85,RMA,150.0,43.82352,-79.32472,20.0,20.0,100.0,1874,750.24,229.81
28,86,RMA,270.0,43.82352,-79.32472,20.0,20.0,100.0,790,307.37,187.52
29,87,RMA,30.0,43.82352,-79.26639,20.0,20.0,100.0,1211,467.62,214.7
29,88,RMA,150.0,43.82352,-79.26639,20.0,20.0,100.0,1509,578.43,235.12
29,89,RMA,270.0,43.82352,-79.26639,20.0,20.0,100.0,1977,806.08,227.78
30,90,RMA,30.0,43.82352,-79.20805,20.0,20.0,100.0,1090,432.07,176.29
30,91,RMA,150.0,43.82352,-79.20805,20.0,20.0,100.0,1232,495.13,209.93
30,92,RMA,270.0,43.82352,-79.20805,20.0,20.0,100.0,1073,420.2,203.75
31,93,RMA,30.0,43.82352,-79.14971,20.0,20.0,100.0,868,336.18,182.77
31,94,RMA,150.0,43.82352,-79.14971,20.0,20.0,100.0,1198,498.46,202.81
31,95,RMA,270.0,43.82352,-79.14971,20.0,20.0,100.0,1204,466.07,196.63
32,96,RMA,30.0,43.82352,-79.09137,20.0,19.999,100.0,1035,400.79,190.33
32,97,RMA,150.0,43.82352,-79.09137,20.0,20.0,100.0,1203,440.88,188.66
32,98,RMA,270.0,43.82352,-79.09137,20.0,20.0,100.0,937,372.18,196.04
33,99,RMA,30.0,43.82352,-79.03303,20.0,20.0,100.0,866,339.89,190.18
33,100,RMA,150.0,43.82352,-79.03303,20.0,20.0,100.0,1021,421.22,200.52
33,101,RMA,270.0,43.82352,-79.03303,20.0,20.0,100.0,766,311.03,172.66
34,102,RMA,30.0,43.86001,-79.47057,20.0,20.0,100.0,943,361.07,194.16
34,103,RMA,150.0,43.86001,-79.47057,20.0,20.0,100.0,961,384.71,197.04
34,104,RMA,270.0,43.86001,-79.47057,20.0,20.0,100.0,715,286.25,165.04
35,105,RMA,30.0,43.86001,-79.41223,20.0,20.0,100.0,1288,511.97,212.38
35,106,RMA,150.0,43.86001,-79.41223,20.0,20.0,100.0,1296,503.4,209.0
35,107,RMA,270.0,43.86001,-79.41223,20.0,20.0,100.0,1233,494.19,217.21
36,108,RMA,30.0,43.86001,-79.35389,20.0,19.999,100.0,1274,493.7,217.7
36,109,RMA,150.0,43.86001,-79.35389,20.0,20.0,100.0,1266,487.35,195.02
36,110,RMA,270.0,43.86001,-79.35389,20.0,20.0,100.0,999,383.39,187.81
37,111,RMA,30.0,43.86001,-79.29556,20.0,20.0,100.0,980,381.88,192.5
37,112,RMA,150.0,43.86001,-79.29556,20.0,20.0,100.0,1014,400.64,181.57
37,113,RMA,270.0,43.86001,-79.29556,20.0,20.0,100.0,1111,452.28,194.04
38,114,RMA,30.0,43.86001,-79.23722,20.0,20.0,100.0,854,346.18,189.04
38,115,RMA,150.0,43.86001,-79.23722,20.0,20.0,100.0,1031,408.74,186.22
38,116,RMA,270.0,43.86001,-79.23722,20.0,20.0,100.0,1092,424.28,185.58
39,117,RMA,30.0,43.86001,-79.17888,20.0,20.0,100.0,557,225.06,147.53
39,118,RMA,150.0,43.86001,-79.17888,20.0,20.0,100.0,824,312.03,154.84
39,119,RMA,270.0,43.86001,-79.17888,20.0,20.0,100.0,870,333.68,147.92
40,120,RMA,30.0,43.86001,-79.12054,20.0,20.0,100.0,864,347.36,160.16
40,121,RMA,150.0,43.86001,-79.12054,20.0,20.0,100.0,840,342.8,165.2
40,122,RMA,270.0,43.86001,-79.12054,20.0,20.0,100.0,864,339.67,163.26
41,123,RMA,30.0,43.86001,-79.0622,20.0,20.0,100.0,2808,1117.41,235.72
41,124,RMA,150.0,43.86001,-79.0622,20.0,20.0,100.0,1323,487.52,206.45
