h3_id,served_users,median_SE_bps_hz,median_SINR_dB
852b9c3bfffffff,3360,6.345,29.38
852b8ecbfffffff,3336,5.724,26.5
852b9d3bfffffff,3333,6.098,28.23
852ab46ffffffff,3299,6.206,28.73
850ec963fffffff,3296,5.585,25.85
852b96dbfffffff,3295,3.403,15.64
852b9b63fffffff,3211,5.489,25.41
852708c7fffffff,3186,4.701,21.74
852b8117fffffff,3168,5.104,23.62
852b98b3fffffff,3106,5.825,26.97
852b9223fffffff,3106,5.477,25.35
852b9babfffffff,3059,5.143,23.8
852b8e93fffffff,3005,5.271,24.4
85270c8bfffffff,3001,4.784,22.13
852b8343fffffff,2876,5.974,27.66
852b980ffffffff,2838,5.983,27.7
852ab0d7fffffff,2825,5.468,25.31
852b916ffffffff,2792,6.388,29.58
852b9843fffffff,2792,6.056,28.04
852b9c33fffffff,2784,5.876,27.2
852ab44bfffffff,2780,5.41,25.04
852b9a17fffffff,2774,6.142,28.44
852b9d43fffffff,2764,5.698,26.38
85276d23fffffff,2750,5.609,25.96
852b9857fffffff,2737,6.463,29.93
85276c5bfffffff,2722,5.355,24.79
852b9397fffffff,2713,5.538,25.63
852b9c8ffffffff,2637,5.7,26.39
852b908bfffffff,2623,6.103,28.26
852b983bfffffff,2576,6.138,28.42
852b9e6ffffffff,2509,5.865,27.15
852ab6affffffff,2507,5.362,24.82
852b9a5bfffffff,2467,5.33,24.67
852b980bfffffff,2461,6.367,29.48
852b9d73fffffff,2451,5.726,26.51
852b8ec3fffffff,2449,6.174,28.59
852ab45bfffffff,2435,5.628,26.05
85276caffffffff,2409,5.397,24.98
852b9173fffffff,2406,5.474,25.34
85277053fffffff,2333,6.651,30.8
852ab0c3fffffff,2314,5.741,26.58
852ab44ffffffff,2290,5.713,26.45
852b810bfffffff,2277,6.445,29.84
852b9e8ffffffff,2225,5.852,27.09
852b9ac3fffffff,2200,5.496,25.44
852b8edbfffffff,2182,5.522,25.56
85276d2ffffffff,2161,5.666,26.23
852b9853fffffff,2158,5.779,26.75
852b9e07fffffff,2155,6.013,27.84
852769abfffffff,2131,5.571,25.79
8527665bfffffff,2098,5.597,25.91
852ab6b3fffffff,2095,5.794,26.82
852b8137fffffff,2079,7.074,32.76
852b832bfffffff,2063,4.869,22.53
852b9a47fffffff,2053,4.802,22.21
852ab63bfffffff,2040,5.836,27.02
852769a7fffffff,2039,6.186,28.64
852b8e0bfffffff,2016,6.115,28.31
852ab553fffffff,1958,5.917,27.39
852b9a7bfffffff,1949,5.278,24.43
852b9117fffffff,1860,5.602,25.93
852b8133fffffff,1837,6.33,29.31
850ecc13fffffff,1833,5.633,26.08
852b9d6bfffffff,1830,6.077,28.14
852b9083fffffff,1771,5.468,25.31
8527692ffffffff,1754,5.564,25.76
852769a3fffffff,1722,5.967,27.63
852766dbfffffff,1718,5.089,23.55
852b946bfffffff,1713,5.714,26.45
8527053bfffffff,1679,5.809,26.89
852b93cffffffff,1671,5.724,26.5
852760cffffffff,1666,10.967,50.79
852b8223fffffff,1640,4.802,22.22
85276c8bfffffff,1613,5.464,25.29
85270d13fffffff,1588,5.462,25.28
852b98a3fffffff,1575,6.036,27.95
85276c17fffffff,1558,5.756,26.65
